track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,spotify_track_id,spotify_preview_url,spotify_album_cover_url,spotify_artist_image_url
cardigan,Taylor Swift,1,2020,7,24,7923,29,812019557,106,112,142,4,215,130,,Minor,61,53,58,55,0,27,4,4R2kfaDFhslZEMJqAFNpdd,,https://i.scdn.co/image/ab67616d0000b27395f754318336a07e85ec59bc,https://i.scdn.co/image/ab6761610000e5eb859e4c14fa59296c8649e0e4
T,"dennis, MC Kevin o Chris",2,2023,5,4,731,15,111947664,27,17,73,4,167,130,B,Major,86,59,96,50,1,9,5,35FW5OEe4p38LdjK1KqT2X,https://p.scdn.co/mp3-preview/eaa522f48564e43e33e00c011aef0489526d1072?cid=6c77115735724c94af0b7a434aef3fc3,https://i.scdn.co/image/ab67616d0000b273ddfc406de0d7dbc2e339f016,https://i.scdn.co/image/ab6761610000e5eb8a1ec9781a1542458b3b961b
Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",2,2023,2,3,5184,41,156338624,154,84,102,14,37,133,F,Major,70,86,81,25,0,25,5,6AQbmUe0Qwf5PZnt4HmTXv,https://p.scdn.co/mp3-preview/543d8d09a5530a1ab94dd0c6f83fc4ee3e0d7f96?cid=6c77115735724c94af0b7a434aef3fc3,https://i.scdn.co/image/ab67616d0000b2739567e1aa41657425d046733b,https://i.scdn.co/image/ab6761610000e5eb5168e912bd9bd91607cd07dd
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",3,2022,6,24,3107,39,720434240,38,0,4,0,0,101,D,Major,88,72,59,62,0,9,3,5Odq8ohlgIbQKMZivbWkEo,https://p.scdn.co/mp3-preview/9e4342eefa4f33df4e9b199e60dbce0f59e46eff?cid=6c77115735724c94af0b7a434aef3fc3,https://i.scdn.co/image/ab67616d0000b27335d2e0ed94a934f2cc46fa49,
BESO,"Rauw Alejandro, ROSAL",2,2023,3,24,4053,50,357925728,82,121,182,12,171,95,F,Minor,77,53,64,74,0,17,14,,,,https://i.scdn.co/image/ab6761610000e5eb9047f938310ea16b68a5bdeb
Hey Mor,"Ozuna, Feid",2,2022,10,6,4637,38,674072710,63,79,89,11,16,98,C#,Minor,90,40,59,0,0,10,29,1zsPaEkglFvxjAhrM8yhpr,https://p.scdn.co/mp3-preview/cd2d2242b748408da15c2b66f47d54b3f0793ae0?cid=6c77115735724c94af0b7a434aef3fc3,https://i.scdn.co/image/ab67616d0000b273125624f2e04f5a1ccb0dfb45,https://i.scdn.co/image/ab6761610000e5ebd45efec1d439cfd8bd936421
Yellow,Chris Molitor,1,1999,1,1,31358,43,1755214421,196,2,"4,053",5,0,173,B,Major,43,28,66,0,0,23,3,6tvs7zEP8d1SBgSqZQ84OT,https://p.scdn.co/mp3-preview/ea93f9b43fc638111ad661719037bfb88cd9c05d?cid=6c77115735724c94af0b7a434aef3fc3,https://i.scdn.co/image/ab67616d0000b273be011d16b9360a7dee109774,https://i.scdn.co/image/ab6761610000e5eb03851b1c2471a8c0b57371c4
Karma,Taylor Swift,1,2022,10,21,3818,23,404562836,37,55,32,0,272,90,G#,Major,64,10,62,7,0,48,7,7KokYm8cMIXCsGVmUvKtqf,,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5,https://i.scdn.co/image/ab6761610000e5eb859e4c14fa59296c8649e0e4
People,Libianca,1,2022,12,2,3506,56,373199958,105,64,169,8,529,198,A#,Minor,59,71,42,55,0,10,7,26b3oVLrRUaaybJulow9kz,https://p.scdn.co/mp3-preview/abcbc9adf10ae4901b40b80a30dc194d589c2d62?cid=6c77115735724c94af0b7a434aef3fc3,https://i.scdn.co/image/ab67616d0000b273fc342f95f117d48dbdde9735,https://i.scdn.co/image/ab6761610000e5eb6a42e7c32ead029c0285c12f
Overdrive,Post Malone,1,2023,7,14,410,36,14780425,36,32,31,1,26,140,C#,Major,56,48,73,0,0,35,4,3t0ic4mkhvhamrKDkulB8v,,https://i.scdn.co/image/ab67616d0000b27372694fed173af6d24d22eefb,https://i.scdn.co/image/ab6761610000e5eb6be070445b03e0b63147c2c1
Enchanted (Taylor's Version),Taylor Swift,1,2023,7,7,148,24,39578178,32,93,8,2,5,82,G#,Major,51,22,53,1,0,15,3,3sW3oSbzsfecv9XoUdGs7h,,https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481,https://i.scdn.co/image/ab6761610000e5eb859e4c14fa59296c8649e0e4
